Condition,Model,RAG_type,Scale,Item_Text,disc_score,loading_CI,loading_PE,cosine_sim
gemini × Re-Ranked RAG,gemini,Re-Ranked RAG,Perseverance of Effort,I don't let temporary failures stop me.,0.1709,-0.023,0.696,0.4871
gemini × Re-Ranked RAG,gemini,Re-Ranked RAG,Perseverance of Effort,I have the determination to see projects through.,0.101,0.055,0.74,0.52
gemini × Re-Ranked RAG,gemini,Re-Ranked RAG,Perseverance of Effort,"Even when progress is slow, I continue to work.",0.1325,0.045,0.651,0.4806
gemini × Re-Ranked RAG,gemini,Re-Ranked RAG,Perseverance of Effort,I bounce back from setbacks and keep pushing forward.,0.2159,-0.015,0.693,0.5587
gemini × Re-Ranked RAG,gemini,Re-Ranked RAG,Perseverance of Effort,I am committed to overcoming hurdles.,0.1409,-0.075,0.845,0.5018
gemini × Re-Ranked RAG,gemini,Re-Ranked RAG,Perseverance of Effort,I don't shy away from hard work when faced with opposition.,0.1621,-0.127,0.764,0.4687
gemini × Re-Ranked RAG,gemini,Re-Ranked RAG,Perseverance of Effort,"When I hit a roadblock, I redouble my efforts.",0.0814,0.022,0.697,0.4705
gemini × Re-Ranked RAG,gemini,Re-Ranked RAG,Perseverance of Effort,I am persistent in pursuing my objectives.,0.0167,0.117,0.716,0.4665
gemini × Re-Ranked RAG,gemini,Re-Ranked RAG,Perseverance of Effort,I find ways to move forward when things get stuck.,0.1454,0.149,0.519,0.4824
gemini × Re-Ranked RAG,gemini,Re-Ranked RAG,Perseverance of Effort,I remain dedicated to my tasks even when they become arduous.,0.0535,0.076,0.702,0.4895
gemini × Re-Ranked RAG,gemini,Re-Ranked RAG,Perseverance of Effort,I am not easily discouraged by difficulties.,0.151,-0.049,0.742,0.4433
gemini × Re-Ranked RAG,gemini,Re-Ranked RAG,Perseverance of Effort,I possess the grit to finish what I begin.,0.1848,0.074,0.682,0.5421
gemini × Re-Ranked RAG,gemini,Re-Ranked RAG,Perseverance of Effort,I can persevere through demanding situations.,0.1973,-0.104,0.824,0.5467
gemini × Re-Ranked RAG,gemini,Re-Ranked RAG,Perseverance of Effort,I don't let setbacks derail my progress.,0.1659,-0.114,0.81,0.5337
gemini × Re-Ranked RAG,gemini,Re-Ranked RAG,Perseverance of Effort,I am unwavering in my pursuit of completion.,-0.0108,0.185,0.634,0.4284
gemini × Re-Ranked RAG,gemini,Re-Ranked RAG,Perseverance of Effort,"When challenges arise, I am motivated to overcome them.",0.1697,-0.01,0.75,0.4925
gemini × Re-Ranked RAG,gemini,Re-Ranked RAG,Perseverance of Effort,I have a strong will to see things through.,0.0896,0.004,0.776,0.4685
gemini × Re-Ranked RAG,gemini,Re-Ranked RAG,Perseverance of Effort,I can sustain effort through prolonged difficulties.,0.2433,-0.034,0.718,0.6459
gemini × Re-Ranked RAG,gemini,Re-Ranked RAG,Perseverance of Effort,I don't abandon tasks when they become complicated.,0.031,0.199,0.474,0.406
gemini × Re-Ranked RAG,gemini,Re-Ranked RAG,Perseverance of Effort,I am resolute in my approach to achieving goals.,-0.0417,0.032,0.744,0.4224
gemini × Re-Ranked RAG,gemini,Re-Ranked RAG,Perseverance of Effort,I am able to push through when things feel overwhelming.,0.1381,-0.018,0.699,0.4738
gemini × Re-Ranked RAG,gemini,Re-Ranked RAG,Perseverance of Effort,I refuse to be defeated by obstacles.,0.1122,-0.205,0.839,0.4157
gemini × Re-Ranked RAG,gemini,Re-Ranked RAG,Perseverance of Effort,I am driven to complete my commitments.,0.0317,0.149,0.639,0.4013
gemini × Re-Ranked RAG,gemini,Re-Ranked RAG,Perseverance of Effort,"Even when faced with significant challenges, I continue working.",0.2034,-0.127,0.833,0.5544
gemini × Re-Ranked RAG,gemini,Re-Ranked RAG,Perseverance of Effort,I can endure hardship to reach my objectives.,0.1551,-0.094,0.806,0.5304
gemini × Re-Ranked RAG,gemini,Re-Ranked RAG,Perseverance of Effort,I don't let minor issues stop my progress.,0.0499,0.021,0.651,0.4368
gemini × Re-Ranked RAG,gemini,Re-Ranked RAG,Perseverance of Effort,I am committed to seeing my plans through to the end.,0.0615,0.019,0.731,0.4497
gemini × Re-Ranked RAG,gemini,Re-Ranked RAG,Perseverance of Effort,"When things get tough, I dig deeper.",0.1525,-0.023,0.669,0.4588
gemini × Re-Ranked RAG,gemini,Re-Ranked RAG,Perseverance of Effort,I am tenacious in my efforts.,0.0216,0.163,0.604,0.3936
gemini × Re-Ranked RAG,gemini,Re-Ranked RAG,Perseverance of Effort,I can maintain focus on my goals despite interruptions.,-0.0595,0.206,0.574,0.519
gemini × Re-Ranked RAG,gemini,Re-Ranked RAG,Perseverance of Effort,I am known for my persistence.,0.0526,0.138,0.57,0.3702
gpt × No-RAG,gpt,No-RAG,Consistency of Interest,I often switch my focus to new interests.,0.256,0.836,-0.017,0.5202
gpt × No-RAG,gpt,No-RAG,Consistency of Interest,I stay committed to my long-term goals.,0.0285,0.21,0.525,0.471
gpt × No-RAG,gpt,No-RAG,Consistency of Interest,I frequently find myself distracted by new ideas.,0.1881,0.712,0.012,0.4198
gpt × No-RAG,gpt,No-RAG,Consistency of Interest,I prefer to delve deeply into one subject at a time.,0.2565,0.757,-0.084,0.4502
gpt × No-RAG,gpt,No-RAG,Consistency of Interest,I easily lose interest in ongoing projects.,0.0777,0.536,0.271,0.4426
gpt × No-RAG,gpt,No-RAG,Consistency of Interest,I enjoy pursuing a single passion for an extended period.,0.2464,0.758,-0.01,0.5968
gpt × No-RAG,gpt,No-RAG,Consistency of Interest,I jump from one hobby to another without finishing them.,0.1085,0.68,0.022,0.3838
gpt × No-RAG,gpt,No-RAG,Consistency of Interest,I am quick to change direction when a new idea excites me.,0.1456,0.531,0.129,0.3318
gpt × No-RAG,gpt,No-RAG,Consistency of Interest,I find it fulfilling to master one area of interest.,0.1398,0.651,0.077,0.4822
gpt × No-RAG,gpt,No-RAG,Consistency of Interest,I feel satisfied sticking to my chosen pursuits.,0.1161,0.514,0.23,0.5126
gpt × No-RAG,gpt,No-RAG,Consistency of Interest,I get bored if I focus on the same thing too long.,0.2467,0.578,0.133,0.4732
gpt × No-RAG,gpt,No-RAG,Consistency of Interest,I set a goal and work toward it consistently.,-0.0261,0.097,0.542,0.4142
gpt × No-RAG,gpt,No-RAG,Consistency of Interest,I often feel the urge to explore something different.,0.1817,0.728,-0.04,0.328
gpt × No-RAG,gpt,No-RAG,Consistency of Interest,I take pride in seeing my ideas through to completion.,-0.1233,0.155,0.542,0.3408
gpt × No-RAG,gpt,No-RAG,Consistency of Interest,I prefer to explore different interests rather than sticking to one.,0.2457,0.928,-0.22,0.4041
gpt × No-RAG,gpt,No-RAG,Consistency of Interest,I find it easy to dedicate myself to a single project.,0.213,0.585,0.211,0.595
gpt × No-RAG,gpt,No-RAG,Consistency of Interest,I am often tempted by new and shiny opportunities.,0.095,0.491,0.208,0.3138
gpt × No-RAG,gpt,No-RAG,Consistency of Interest,I gain a sense of accomplishment from persistent effort on one goal.,-0.0418,0.204,0.554,0.5152
gpt × No-RAG,gpt,No-RAG,Consistency of Interest,I have difficulty resisting the allure of new projects.,0.1719,0.548,0.238,0.507
gpt × No-RAG,gpt,No-RAG,Consistency of Interest,I believe in the value of deep engagement with one passion.,0.1811,0.555,0.047,0.4568
gpt × No-RAG,gpt,No-RAG,Consistency of Interest,I frequently stray from my original plans.,0.0272,0.436,0.251,0.2932
gpt × No-RAG,gpt,No-RAG,Consistency of Interest,I enjoy the journey of fully developing one skill.,-0.0063,0.495,0.181,0.3663
gpt × No-RAG,gpt,No-RAG,Consistency of Interest,I feel restless if I am not exploring varied interests.,0.1878,0.723,-0.056,0.3897
gpt × No-RAG,gpt,No-RAG,Consistency of Interest,I am often uncertain about my main focus.,0.1867,0.592,0.136,0.4597
gpt × No-RAG,gpt,No-RAG,Consistency of Interest,I appreciate the importance of sticking with one area of interest.,0.2805,0.704,-0.024,0.5941
gpt × No-RAG,gpt,No-RAG,Consistency of Interest,I often feel overwhelmed by too many options.,0.1268,0.485,0.175,0.3065
gpt × No-RAG,gpt,No-RAG,Consistency of Interest,I am motivated to finish what I start.,-0.1255,0.142,0.572,0.3498
gpt × No-RAG,gpt,No-RAG,Consistency of Interest,I find it enriching to explore diverse projects simultaneously.,0.1018,0.745,-0.107,0.3715
gpt × No-RAG,gpt,No-RAG,Consistency of Interest,I prefer not to shift gears once I’ve committed to something.,0.1654,0.391,0.274,0.4443
gpt × No-RAG,gpt,No-RAG,Consistency of Interest,"My interests often conflict, making it hard to choose one.",0.1269,0.655,0.024,0.3567
gpt × No-RAG,gpt,No-RAG,Consistency of Interest,I easily get sidetracked by new passions.,0.1976,0.745,0.015,0.4419
gpt × No-RAG,gpt,No-RAG,Consistency of Interest,I value the patience required for long-term commitment.,0.0247,0.287,0.309,0.3683
gpt × No-RAG,gpt,No-RAG,Perseverance of Effort,I keep going even when things get tough.,0.18,-0.044,0.751,0.5046
gpt × No-RAG,gpt,No-RAG,Perseverance of Effort,I often give up when I encounter obstacles.,0.109,0.031,0.76,0.4154
gpt × No-RAG,gpt,No-RAG,Perseverance of Effort,I push through challenges until I achieve my goals.,0.156,-0.083,0.833,0.5166
gpt × No-RAG,gpt,No-RAG,Perseverance of Effort,I lose interest in a task if it becomes too difficult.,0.0235,0.252,0.492,0.369
gpt × No-RAG,gpt,No-RAG,Perseverance of Effort,"I finish what I start, no matter how hard it gets.",0.2094,-0.003,0.724,0.5826
gpt × No-RAG,gpt,No-RAG,Perseverance of Effort,I find it easy to quit when faced with setbacks.,0.1994,-0.108,0.788,0.5143
gpt × No-RAG,gpt,No-RAG,Perseverance of Effort,"I stay committed to my tasks, even when frustrated.",0.0498,0.086,0.7,0.5211
gpt × No-RAG,gpt,No-RAG,Perseverance of Effort,I abandon difficult projects before completing them.,0.0595,0.228,0.509,0.435
gpt × No-RAG,gpt,No-RAG,Perseverance of Effort,I seek solutions rather than getting discouraged.,0.0544,0.07,0.582,0.3539
gpt × No-RAG,gpt,No-RAG,Perseverance of Effort,I struggle to maintain effort when faced with failures.,0.1288,-0.056,0.798,0.5465
gpt × No-RAG,gpt,No-RAG,Perseverance of Effort,I remain focused on my objectives despite distractions.,-0.1921,0.276,0.444,0.4165
gpt × No-RAG,gpt,No-RAG,Perseverance of Effort,I believe persistence is key to success.,0.0594,0.042,0.527,0.4734
gpt × No-RAG,gpt,No-RAG,Perseverance of Effort,I frequently become overwhelmed and give up.,0.0285,0.171,0.609,0.3638
gpt × No-RAG,gpt,No-RAG,Perseverance of Effort,I feel rewarded when I overcome difficulties.,0.255,-0.049,0.754,0.526
gpt × No-RAG,gpt,No-RAG,Perseverance of Effort,I avoid tasks that seem too hard.,0.0486,0.117,0.566,0.3886
gpt × No-RAG,gpt,No-RAG,Perseverance of Effort,I thrive when faced with challenging situations.,0.1423,-0.014,0.713,0.4172
gpt × No-RAG,gpt,No-RAG,Perseverance of Effort,I often lose motivation during tough times.,0.1297,0.052,0.652,0.4032
gpt × No-RAG,gpt,No-RAG,Perseverance of Effort,I rally my efforts when facing failure.,0.1191,-0.117,0.812,0.4813
gpt × No-RAG,gpt,No-RAG,Perseverance of Effort,I find myself justifying why I should quit.,-0.0019,0.178,0.382,0.2319
gpt × No-RAG,gpt,No-RAG,Perseverance of Effort,I believe in my ability to see things through to the end.,0.1378,-0.003,0.612,0.4615
gpt × No-RAG,gpt,No-RAG,Perseverance of Effort,I often leave tasks unfinished due to obstacles.,0.0856,0.235,0.509,0.4458
gpt × No-RAG,gpt,No-RAG,Perseverance of Effort,I transform setbacks into opportunities for growth.,0.1784,-0.041,0.662,0.4584
gpt × No-RAG,gpt,No-RAG,Perseverance of Effort,I get easily discouraged when outcomes are poor.,0.0939,0.05,0.653,0.3916
gpt × No-RAG,gpt,No-RAG,Perseverance of Effort,"I stay determined to finish tasks, no matter the struggle.",0.1483,-0.035,0.789,0.5777
gpt × No-RAG,gpt,No-RAG,Perseverance of Effort,I cower at the first sign of difficulty.,0.0712,-0.134,0.654,0.2757
gpt × No-RAG,gpt,No-RAG,Perseverance of Effort,"I keep my eye on the prize, even when it's hard.",0.0113,0.025,0.68,0.4868
gpt × No-RAG,gpt,No-RAG,Perseverance of Effort,I find myself avoiding challenges that look difficult.,0.0389,0.126,0.626,0.3749
gpt × No-RAG,gpt,No-RAG,Perseverance of Effort,I push myself beyond my limits to get the job done.,0.1109,0.044,0.619,0.4303
gpt × No-RAG,gpt,No-RAG,Perseverance of Effort,I think of quitting when faced with setbacks.,0.1438,-0.089,0.746,0.4801
gpt × No-RAG,gpt,No-RAG,Perseverance of Effort,I embrace the struggle as part of the journey.,0.1021,0.006,0.579,0.3553
gpt × No-RAG,gpt,No-RAG,Perseverance of Effort,I take pride in overcoming hurdles to finish.,0.2214,-0.057,0.786,0.5788
gpt × No-RAG,gpt,No-RAG,Perseverance of Effort,I easily lose sight of my goals during tough times.,0.0295,0.044,0.681,0.4126
gpt × No-RAG,gpt,No-RAG,Perseverance of Effort,I analyze mistakes and keep moving forward.,0.0754,0.071,0.512,0.3777
gpt × No-RAG,gpt,No-RAG,Perseverance of Effort,I quickly lose hope when facing obstacles.,0.0964,-0.089,0.775,0.3849
gpt × No-RAG,gpt,No-RAG,Perseverance of Effort,I make a plan to tackle challenges head-on.,0.0633,0.038,0.669,0.4335
gpt × No-RAG,gpt,No-RAG,Perseverance of Effort,I often feel defeated when projects become tough.,0.1506,0.078,0.689,0.4915
gpt × No-RAG,gpt,No-RAG,Perseverance of Effort,I consistently strive to fulfill my commitments.,0.0457,0.086,0.582,0.4125
gpt × No-RAG,gpt,No-RAG,Perseverance of Effort,I shy away from hard work if it's too frustrating.,0.1002,0.09,0.566,0.3774
gpt × RAG,gpt,RAG,Consistency of Interest,I often switch between different interests too frequently.,0.2232,0.906,-0.205,0.4145
gpt × RAG,gpt,RAG,Consistency of Interest,I struggle to ignore new ideas while working.,0.1338,0.519,0.158,0.4622
gpt × RAG,gpt,RAG,Consistency of Interest,"Once I choose a direction, I rarely change it.",0.1767,0.447,0.219,0.419
gpt × RAG,gpt,RAG,Consistency of Interest,I frequently abandon plans for new pursuits.,0.0864,0.667,0.105,0.3984
gpt × RAG,gpt,RAG,Consistency of Interest,I enjoy continuously developing my primary interest.,0.0905,0.554,0.158,0.4396
gpt × RAG,gpt,RAG,Consistency of Interest,It's challenging for me to focus on a single ambition.,0.3106,0.578,0.212,0.6598
gpt × RAG,gpt,RAG,Consistency of Interest,I tend to see projects through to the end.,-0.067,0.255,0.504,0.4296
gpt × RAG,gpt,RAG,Consistency of Interest,I frequently lose interest in my current goals.,0.1199,0.728,0.082,0.4254
gpt × RAG,gpt,RAG,Consistency of Interest,My enthusiasm for a single venture lasts a long time.,0.1022,0.46,0.214,0.4701
gpt × RAG,gpt,RAG,Consistency of Interest,I have difficulty resisting the temptation to start new things.,0.0907,0.606,0.144,0.4454
gpt × RAG,gpt,RAG,Consistency of Interest,I frequently get sidetracked by new opportunities.,0.1022,0.796,-0.042,0.3962
gpt × RAG,gpt,RAG,Consistency of Interest,I often feel drawn away from my current endeavors.,0.1366,0.767,0.021,0.4176
gpt × RAG,gpt,RAG,Consistency of Interest,I prioritize deepening my expertise in one area.,0.1867,0.468,0.16,0.4613
gpt × RAG,gpt,RAG,Consistency of Interest,I'm easily tempted to start fresh ideas before finishing.,0.0428,0.601,0.093,0.404
gpt × RAG,gpt,RAG,Consistency of Interest,I commit fully to my current objectives.,0.1019,0.257,0.463,0.4672
gpt × RAG,gpt,RAG,Consistency of Interest,I often feel restless with prolonged tasks.,-0.0011,0.509,0.189,0.394
gpt × RAG,gpt,RAG,Consistency of Interest,I derive satisfaction from pursuing one interest deeply.,0.135,0.517,0.149,0.4586
gpt × RAG,gpt,RAG,Consistency of Interest,I find it hard to resist changing my focus.,0.2263,0.63,0.199,0.5759
gpt × RAG,gpt,RAG,Consistency of Interest,I am intentional about developing a singular ambition.,0.2796,0.367,0.27,0.5802
gpt × RAG,gpt,RAG,Consistency of Interest,I frequently chase after new interests.,0.1243,0.839,-0.061,0.4069
gpt × RAG,gpt,RAG,Consistency of Interest,I often feel the urge to shift to new projects.,0.1913,0.824,-0.107,0.4553
gpt × RAG,gpt,RAG,Consistency of Interest,I stick with my plans until they've reached completion.,-0.0388,0.181,0.523,0.3716
gpt × RAG,gpt,RAG,Consistency of Interest,I am easily swayed by the allure of new ideas.,0.1661,0.634,-0.052,0.3048
gpt × RAG,gpt,RAG,Consistency of Interest,I am capable of seeing my ambitions through.,-0.0546,0.123,0.546,0.3705
gpt × RAG,gpt,RAG,Consistency of Interest,I often feel like I can’t settle on one pursuit.,0.1882,0.757,0.007,0.494
gpt × RAG,gpt,RAG,Consistency of Interest,I commonly feel the pull towards different passions.,0.1644,0.789,-0.127,0.391
gpt × RAG,gpt,RAG,Consistency of Interest,I invest time in mastering my select interests.,0.0909,0.484,0.196,0.4432
gpt × RAG,gpt,RAG,Consistency of Interest,I often lose focus when new projects arise.,0.2075,0.784,0.042,0.5601
gpt × RAG,gpt,RAG,Consistency of Interest,I take pride in my ability to stay committed.,-0.0021,0.103,0.623,0.4376
gpt × RAG,gpt,RAG,Perseverance of Effort,I keep pushing through even when I face challenges.,0.2032,-0.078,0.848,0.5476
gpt × RAG,gpt,RAG,Perseverance of Effort,I often give up when I encounter obstacles.,0.109,0.22,0.571,0.4154
gpt × RAG,gpt,RAG,Perseverance of Effort,I maintain my effort even when tasks become difficult.,0.132,-0.008,0.859,0.601
gpt × RAG,gpt,RAG,Perseverance of Effort,It's easy for me to walk away from tough projects.,0.0495,0.291,0.413,0.392
gpt × RAG,gpt,RAG,Perseverance of Effort,I stay the course when I encounter setbacks.,0.1663,-0.022,0.816,0.5969
gpt × RAG,gpt,RAG,Perseverance of Effort,I tend to quit when things get overwhelming.,0.0022,0.293,0.438,0.3566
gpt × RAG,gpt,RAG,Perseverance of Effort,"I finish what I start, no matter the difficulties.",0.2167,-0.054,0.803,0.5783
gpt × RAG,gpt,RAG,Perseverance of Effort,I allow myself to get discouraged by problems.,0.0917,0.141,0.568,0.3775
gpt × RAG,gpt,RAG,Perseverance of Effort,"I consistently put in effort, regardless of the outcome.",0.1281,-0.095,0.799,0.4887
gpt × RAG,gpt,RAG,Perseverance of Effort,I struggle to keep going when faced with hardship.,0.2094,0.004,0.733,0.5419
gpt × RAG,gpt,RAG,Perseverance of Effort,I am determined to overcome hurdles in my work.,0.128,-0.037,0.758,0.4933
gpt × RAG,gpt,RAG,Perseverance of Effort,I persevere through tough situations until I succeed.,0.2502,-0.177,0.91,0.5896
gpt × RAG,gpt,RAG,Perseverance of Effort,I reconcile my efforts even when progress is slow.,0.1329,0.039,0.712,0.4925
gpt × RAG,gpt,RAG,Perseverance of Effort,I sometimes stop trying when faced with setbacks.,0.1464,0.124,0.647,0.5061
gpt × RAG,gpt,RAG,Perseverance of Effort,"I work diligently, no matter how hard the situation gets.",0.1756,-0.176,0.869,0.4916
gpt × RAG,gpt,RAG,Perseverance of Effort,I keep my focus and effort until the task is complete.,-0.0751,0.162,0.629,0.505
gpt × RAG,gpt,RAG,Perseverance of Effort,I find it hard to continue when things don't go as planned.,0.1731,0.178,0.56,0.4701
gpt × RAG,gpt,RAG,Perseverance of Effort,I push myself to finish even the most challenging tasks.,0.1594,0.018,0.762,0.5282
gpt × RAG,gpt,RAG,Perseverance of Effort,I often let difficulties discourage me from finishing.,0.172,0.285,0.502,0.4894
gpt × RAG,gpt,RAG,Perseverance of Effort,I prioritize finishing tasks despite encountering difficulties.,0.1908,0.07,0.756,0.6468
gpt × RAG,gpt,RAG,Perseverance of Effort,I adapt my strategies to stay committed to my goals.,-0.0175,0.222,0.549,0.4314
gpt × RAG,gpt,RAG,Perseverance of Effort,I let setbacks dictate my level of effort.,0.1234,0.103,0.605,0.4583
gpt × RAG,gpt,RAG,Perseverance of Effort,I strive to maintain high levels of effort when facing issues.,0.0444,0.004,0.774,0.5089
gpt × RAG,gpt,RAG,Perseverance of Effort,I remain persistent even when results are disappointing.,0.1285,-0.004,0.756,0.5246
gpt × RAG,gpt,RAG,Perseverance of Effort,I commit to finishing all my responsibilities.,0.0593,0.033,0.608,0.4278
gpt × RAG,gpt,RAG,Perseverance of Effort,I often feel like giving up when the going gets tough.,0.1254,0.23,0.474,0.3816
gpt × RAG,gpt,RAG,Perseverance of Effort,I seek solutions rather than surrendering when issues arise.,0.0233,0.074,0.545,0.3493
gpt × RAG,gpt,RAG,Perseverance of Effort,I maintain my effort even in the face of adversity.,0.1441,-0.137,0.943,0.5783
gpt × RAG,gpt,RAG,Perseverance of Effort,I find it challenging to keep going when I experience setbacks.,0.2213,0.146,0.654,0.6144
gpt × RAG,gpt,RAG,Perseverance of Effort,I ultimately see tasks through to their completion.,0.1498,0.111,0.573,0.509
gpt × RAG,gpt,RAG,Perseverance of Effort,I allow challenges to derail my progress.,0.0952,0.247,0.523,0.4323
gpt × RAG,gpt,RAG,Perseverance of Effort,I am relentless in achieving my objectives despite difficulties.,0.1084,-0.036,0.809,0.5225
gpt × RAG,gpt,RAG,Perseverance of Effort,I struggle to stay engaged when faced with hurdles.,0.0658,0.227,0.57,0.4666
gpt × RAG,gpt,RAG,Perseverance of Effort,I find pride in completing difficult tasks.,0.1661,0.051,0.646,0.5204
gpt × Re-Ranked RAG,gpt,Re-Ranked RAG,Consistency of Interest,I often find myself easily sidetracked by new ideas.,0.1611,0.946,-0.234,0.4104
gpt × Re-Ranked RAG,gpt,Re-Ranked RAG,Consistency of Interest,I pursue long-term goals with determination.,-0.0022,-0.015,0.799,0.487
gpt × Re-Ranked RAG,gpt,Re-Ranked RAG,Consistency of Interest,I frequently jump between projects without completing them.,0.0607,0.669,0.021,0.4076
gpt × Re-Ranked RAG,gpt,Re-Ranked RAG,Consistency of Interest,I prioritize following through with my original ambitions.,0.0667,0.118,0.649,0.5201
gpt × Re-Ranked RAG,gpt,Re-Ranked RAG,Consistency of Interest,My focus shifts quickly when faced with new challenges.,0.1632,0.563,0.227,0.504
gpt × Re-Ranked RAG,gpt,Re-Ranked RAG,Consistency of Interest,I am committed to seeing my goals through to the end.,-0.0791,-0.22,0.948,0.4063
gpt × Re-Ranked RAG,gpt,Re-Ranked RAG,Consistency of Interest,I tend to lose interest in projects after a while.,0.1026,0.732,-0.025,0.4055
gpt × Re-Ranked RAG,gpt,Re-Ranked RAG,Consistency of Interest,I keep my attention fixed on what matters most to me.,0.2796,0.155,0.529,0.5845
gpt × Re-Ranked RAG,gpt,Re-Ranked RAG,Consistency of Interest,I am easily distracted by enticing new interests.,0.2213,0.818,-0.132,0.4305
gpt × Re-Ranked RAG,gpt,Re-Ranked RAG,Consistency of Interest,"Once I choose a goal, I dedicate myself to it completely.",0.1191,-0.016,0.702,0.4706
gpt × Re-Ranked RAG,gpt,Re-Ranked RAG,Consistency of Interest,I struggle to maintain interest in a single objective.,0.2468,0.498,0.273,0.6048
gpt × Re-Ranked RAG,gpt,Re-Ranked RAG,Consistency of Interest,New opportunities often pull me away from my plans.,0.0429,0.761,-0.049,0.3211
gpt × Re-Ranked RAG,gpt,Re-Ranked RAG,Consistency of Interest,I believe in giving my best effort to one pursuit.,0.1018,-0.055,0.696,0.4584
gpt × Re-Ranked RAG,gpt,Re-Ranked RAG,Consistency of Interest,I rarely feel the need to abandon a long-term project.,0.0936,0.524,0.176,0.4631
gpt × Re-Ranked RAG,gpt,Re-Ranked RAG,Consistency of Interest,I find it difficult to resist intriguing new ventures.,0.0676,0.661,0.048,0.3907
gpt × Re-Ranked RAG,gpt,Re-Ranked RAG,Consistency of Interest,I am persistent in working toward my main objective.,-0.0135,-0.048,0.808,0.4652
gpt × Re-Ranked RAG,gpt,Re-Ranked RAG,Consistency of Interest,I frequently explore different projects without focus.,0.1748,0.687,0.004,0.4538
gpt × Re-Ranked RAG,gpt,Re-Ranked RAG,Consistency of Interest,I thrive when committed to one clear ambition.,0.2322,0.034,0.702,0.6169
gpt × Re-Ranked RAG,gpt,Re-Ranked RAG,Consistency of Interest,I have a hard time sticking to a single interest over time.,0.2246,0.595,0.134,0.5567
gpt × Re-Ranked RAG,gpt,Re-Ranked RAG,Consistency of Interest,I tend to return to my original project after distractions.,0.1482,0.617,0.118,0.5364
gpt × Re-Ranked RAG,gpt,Re-Ranked RAG,Consistency of Interest,I easily lose sight of my goals in favor of novel ideas.,0.1659,0.693,0.051,0.4606
gpt × Re-Ranked RAG,gpt,Re-Ranked RAG,Consistency of Interest,I am disciplined about finishing what I start.,-0.0824,0.062,0.652,0.4165
gpt × Re-Ranked RAG,gpt,Re-Ranked RAG,Consistency of Interest,I often feel the pull to explore fresh interests.,0.1554,0.751,-0.095,0.407
gpt × Re-Ranked RAG,gpt,Re-Ranked RAG,Consistency of Interest,I excel in maintaining focus on my singular pursuits.,0.2785,0.13,0.61,0.691
gpt × Re-Ranked RAG,gpt,Re-Ranked RAG,Consistency of Interest,I am quick to abandon my initial plans for newer ones.,0.1016,0.699,-0.004,0.3424
gpt × Re-Ranked RAG,gpt,Re-Ranked RAG,Consistency of Interest,I take pride in my ability to stay committed to my goals.,-0.0034,-0.07,0.84,0.4597
gpt × Re-Ranked RAG,gpt,Re-Ranked RAG,Consistency of Interest,I often change directions based on the latest trend.,0.1138,0.565,0.03,0.2959
gpt × Re-Ranked RAG,gpt,Re-Ranked RAG,Consistency of Interest,I am focused and unwavering when it comes to my goals.,0.2059,-0.045,0.788,0.5571
gpt × Re-Ranked RAG,gpt,Re-Ranked RAG,Consistency of Interest,I frequently shift my focus to fleeting interests.,0.2913,0.759,-0.019,0.5652
gpt × Re-Ranked RAG,gpt,Re-Ranked RAG,Consistency of Interest,I believe in dedicating time and energy to one ambition.,0.2056,0.003,0.643,0.5778
gpt × Re-Ranked RAG,gpt,Re-Ranked RAG,Consistency of Interest,I are excitable about new projects and neglect my current ones.,0.1529,0.587,0.093,0.4271
gpt × Re-Ranked RAG,gpt,Re-Ranked RAG,Consistency of Interest,I enjoy the depth that comes with sustained effort on one goal.,0.0161,0.092,0.639,0.5449
gpt × Re-Ranked RAG,gpt,Re-Ranked RAG,Consistency of Interest,I am often tempted to chase after new distractions.,0.165,0.852,-0.121,0.4073
gpt × Re-Ranked RAG,gpt,Re-Ranked RAG,Consistency of Interest,"Once I’ve chosen a path, I stick to it consistently.",0.0886,0.147,0.553,0.4621
gpt × Re-Ranked RAG,gpt,Re-Ranked RAG,Consistency of Interest,I can easily lose interest in my previous pursuits.,0.1665,0.78,-0.053,0.4463
gpt × Re-Ranked RAG,gpt,Re-Ranked RAG,Perseverance of Effort,I continue working even when I face challenges.,0.205,0.078,0.665,0.5272
gpt × Re-Ranked RAG,gpt,Re-Ranked RAG,Perseverance of Effort,I easily give up when things become difficult.,0.0965,0.523,0.198,0.3587
gpt × Re-Ranked RAG,gpt,Re-Ranked RAG,Perseverance of Effort,I push through difficulties to reach my goals.,0.1976,0.055,0.735,0.5449
gpt × Re-Ranked RAG,gpt,Re-Ranked RAG,Perseverance of Effort,Setbacks often make me abandon my projects.,0.1359,0.655,0.072,0.4697
gpt × Re-Ranked RAG,gpt,Re-Ranked RAG,Perseverance of Effort,I remain focused on my tasks despite obstacles.,-0.0453,0.078,0.732,0.5109
gpt × Re-Ranked RAG,gpt,Re-Ranked RAG,Perseverance of Effort,I often lose motivation when faced with setbacks.,0.1616,0.594,0.194,0.4947
gpt × Re-Ranked RAG,gpt,Re-Ranked RAG,Perseverance of Effort,I find ways to keep going when the situation is tough.,0.229,0.2,0.514,0.5501
gpt × Re-Ranked RAG,gpt,Re-Ranked RAG,Perseverance of Effort,I keep trying until I achieve what I set out to do.,0.0692,0.061,0.698,0.4979
